index,class_name,original_comment,preprocessed_comment,categories
165,BlLayout,"every frame, the space goes through several phases method blspaceframe #initializephases .","every frame, the space goes through several phases method blspaceframe # initializephases .",['Keyimplementationpoints']
166,BlLayout,phases are modeled as subclasses of class blspaceframephase and are executed once per frame.,phases are modeled as subclasses of class blspaceframephase and are executed once per frame.,['Keyimplementationpoints']
167,BlLayout,"one of them, class blspaceframelayoutphase , consists in layouting the elements contained in the space.","one of them, class blspaceframelayoutphase , consists in layouting the elements contained in the space.",['Keyimplementationpoints']
168,BlLayout,"this is done after events and tasks have been executed, but before the drawing phase.","this is done after events and tasks have been executed, but before the drawing phase.",['Keyimplementationpoints']
169,BlLayout,"layouting should to be executed during a frame when various properties like, width, height or position change in any element contained by the space.","layouting should to be executed during a frame when various properties like, width, height or position change in any element contained by the space.",['Keyimplementationpoints']
170,BlLayout,"however, an important aspect in bloc, is that when one of these properties changes, layouting is not performed immediately.","however, an important aspect in bloc, is that when one of these properties changes, layouting is not performed immediately.",['Keyimplementationpoints']
171,BlLayout,"instead, a layout request is issued by the element whose property changed using the message method blelement #requestlayout .","instead, a layout request is issued by the element whose property changed using the message method blelement # requestlayout .",['Keyimplementationpoints']
172,BlLayout,"this has the advantage that if no element request layout, this phase can be skipped.","this has the advantage that if no element request layout, this phase can be skipped.",['Keyimplementationpoints']
174,BlLayout,"hence, in bloc layout is not executed immediately after a property like the width of an element changes.","hence, in bloc layout is not executed immediately after a property like the width of an element changes.","['Keyimplementationpoints', 'Intent']"
177,BlLayout,"that can be done using the messafe method blelement #forcelayout this should not be used outside of tests, as it bypasses the normal layouting system from bloc.","that can be done using the messafe method blelement # forcelayout this should not be used outside of tests, as it bypasses the normal layouting system from bloc.",['Keyimplementationpoints']
178,BlLayout,"however, often elements need to reach and perform actions, when for example their position or extent changes.","however, often elements need to reach and perform actions, when for example their position or extent changes.",['Keyimplementationpoints']
179,BlLayout,they can react by requesting another layout.,they can react by requesting another layout.,['Keyimplementationpoints']
180,BlLayout,a tipical example is deadling with edges.,a tipical example is deadling with edges.,['Keyimplementationpoints']
181,BlLayout,an edge can be layouted only after the position of the elements that it connects is known.,an edge can be layouted only after the position of the elements that it connects is known.,['Keyimplementationpoints']
183,BlLayout,"the space only allows layout requests during the layouting phase a limited number of times method blspace #computelayout to avoid blocking rendering due to infinite recursions caused by layout requests, or void spending too much time on layouts in a frame.","the space only allows layout requests during the layouting phase a limited number of times method blspace # computelayout to avoid blocking rendering due to infinite recursions caused by layout requests, or void spending too much time on layouts in a frame.",['Keyimplementationpoints']
185,BlLayout,performing a layout,performing a layout,['Keyimplementationpoints']
187,BlLayout,performing the layout on an element consists in executing three main steps,performing the layout on an element consists in executing three main steps,['Keyimplementationpoints']
189,BlLayout,this is the first step when performing a layout on an element and consists in determening the measured bounds of that element.,this is the first step when performing a layout on an element and consists in determening the measured bounds of that element.,['Keyimplementationpoints']
191,BlLayout,by default class blelement delegates the measuring to its layout.,by default class blelement delegates the measuring to its layout.,['Keyimplementationpoints']
192,BlLayout,layouts should override method bllayout #measure with to implement the actual measuring.,layouts should override method bllayout # measure with to implement the actual measuring.,['Keyimplementationpoints']
193,BlLayout,normally layouts follow a top to bottom approach they measure the current element and then asks its children to do the measuring.,normally layouts follow a top to bottom approach they measure the current element and then asks its children to do the measuring.,['Keyimplementationpoints']
194,BlLayout,each element has real bounds blelement #bounds and measured bounds blelement #measuredbounds .,each element has real bounds blelement # bounds and measured bounds blelement # measuredbounds .,['Keyimplementationpoints']
195,BlLayout,the real bounds contain the actual position and extent of an element that users of that element should rely on.,the real bounds contain the actual position and extent of an element that users of that element should rely on.,['Keyimplementationpoints']
196,BlLayout,the measured bounds are used during layouting to hold the new extent of an element.,the measured bounds are used during layouting to hold the new extent of an element.,['Keyimplementationpoints']
197,BlLayout,the measuring phase changes only the extent in the measured bounds.,the measuring phase changes only the extent in the measured bounds.,['Keyimplementationpoints']
199,BlLayout,the measured bounds act like a temporary cache for the new bounds of an element.,the measured bounds act like a temporary cache for the new bounds of an element.,['Keyimplementationpoints']
200,BlLayout,they were introduced to avoid changing the real extent of element while layouting of children is still being performed.,they were introduced to avoid changing the real extent of element while layouting of children is still being performed.,['Keyimplementationpoints']
202,BlLayout,applying the layout,applying the layout,['Keyimplementationpoints']
205,BlLayout,"space starts the measurement process from the root element after measurement it tell children to measure themselves, etc","space starts the measurement process from the root element after measurement it tell children to measure themselves, etc",['Keyimplementationpoints']
206,BlLayout,measurement top to bottom though all the composition of elements.,measurement top to bottom though all the composition of elements.,['Keyimplementationpoints']
207,BlLayout,this step find the size of an element and sets measuredextent or position sometimes,this step find the size of an element and sets measuredextent or position sometimes,['Keyimplementationpoints']
208,BlLayout,space starts the layout step,space starts the layout step,['Keyimplementationpoints']
209,BlLayout,as we know the size of each child we compute the actual position for each child,as we know the size of each child we compute the actual position for each child,['Keyimplementationpoints']
211,BlLayout,elements announce events for position and extent changed,elements announce events for position and extent changed,['Keyimplementationpoints']
212,BlLayout,without event handlers the layout process is going to happen only once.,without event handlers the layout process is going to happen only once.,['Keyimplementationpoints']
213,BlLayout,for example when nodes change the position edges should be updated.,for example when nodes change the position edges should be updated.,['Keyimplementationpoints']
214,BlLayout,layout events,layout events,['Keyimplementationpoints']
217,BlLayout,i define an api of a layout.,i define an api of a layout.,"['Keyimplementationpoints', 'Keymessages']"
218,BlLayout,concrete implementations should focus on measure with and layout in,concrete implementations should focus on measure with and layout in,"['Keyimplementationpoints', 'Keymessages']"
219,BlLocalImageCacheTest,this class contains tests,this class contains tests,['Responsibilities']
221,BlMatrix2D,my components are named according to mathematical convention,my components are named according to mathematical convention,['Keyimplementationpoints']
223,BlMatrix2D,a21 a22 shx sy,a21 a22 shx sy,['Keyimplementationpoints']
226,BlMatrixDecomposition,for example in case of 2d matrix they are,for example in case of 2d matrix they are,['Keyimplementationpoints']
230,BlMatrixDecomposition,top left 2x2 minor of original matrix,top left 2x2 minor of original matrix,['Keyimplementationpoints']
237,BlMatrixTransformation,i am an affine transformation that is directly defined by transformation matrix,i am an affine transformation that is directly defined by transformation matrix,['Intent']
238,BlMeasurementUnspecifiedMode,i represent a concrete implementation of unspecified measurement mode.,i represent a concrete implementation of unspecified measurement mode.,['Intent']
240,BlMorphicHostSpace,i am a host space created by blmorphichost.,i am a host space created by blmorphichost.,['Intent']
247,BlMouseMiddleButton,i am a middle mouse button.,i am a middle mouse button.,['Intent']
249,BlMouseMoveEvent,the mouse move event is fired when a pointing device usually a mouse is moved while over an element.,the mouse move event is fired when a pointing device usually a mouse is moved while over an element.,['Collaborators']
250,BlMouseProcessor,i am an event processor.,i am an event processor.,['Intent']
255,BlPerpendicularFractionAnchor,i am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,i am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,"['Responsibilities', 'Intent']"
256,BlPerpendicularFractionAnchor,the curvature distance from the line connecting reference anchors is defined as a fraction curvaturefraction of a length between anchors.,the curvature distance from the line connecting reference anchors is defined as a fraction curvaturefraction of a length between anchors.,['Keyimplementationpoints']
259,BlPolygon,10@50.,10@50.,['Example']
263,BlPolygon,80@140,80@140,['Example']
265,BlRectangleShapeWithArrowExplanation,"the goal of this tutorial is to create an element with an arrow like pointer in the middle of the top edge, as shown below","the goal of this tutorial is to create an element with an arrow like pointer in the middle of the top edge, as shown below",['Example']
269,BlRectangleShapeWithArrowExplanation,"even more compex would be to implement the support for positioning the arrow on different edges eg left, bottom or an ability to have multiple arrows on separate edges.","even more compex would be to implement the support for positioning the arrow on different edges eg left, bottom or an ability to have multiple arrows on separate edges.",['Example']
272,BlRectangleShapeWithArrowExplanation,creating a rectangle shape,creating a rectangle shape,['Example']
276,BlRectangleShapeWithArrowExplanation,in order to give the arrow pointing up enough space we should move the top edge of the rectangle down by the length of the arrow.,in order to give the arrow pointing up enough space we should move the top edge of the rectangle down by the length of the arrow.,['Example']
281,BlRectangleShapeWithArrowExplanation,injecting a line inside of the top edge,injecting a line inside of the top edge,['Example']
283,BlRectangleShapeWithArrowExplanation,it can be done by sending method bllineshape #injectlineat length to the topedge .,it can be done by sending method bllineshape # injectlineat length to the topedge .,['Example']
285,BlRectangleShapeWithArrowExplanation,example blrectangleshapewitharrowexplanation #rectanglewithtopinjectedline previewshow #gtlivefor previewexpanded true previewheight 250,example blrectangleshapewitharrowexplanation # rectanglewithtopinjectedline previewshow # gtlivefor previewexpanded true previewheight 250,['Example']
287,BlRectangleShapeWithArrowExplanation,we are almost ready to create a rectangular arrow.,we are almost ready to create a rectangular arrow.,['Example']
289,BlRectangleShapeWithArrowExplanation,we can do so by sending a method bllineshape #splitat to the now middle section of the topedge which was created by the previous line injection step,we can do so by sending a method bllineshape # splitat to the now middle section of the topedge which was created by the previous line injection step,['Example']
290,BlRectangleShapeWithArrowExplanation,example blrectangleshapewitharrowexplanation #rectanglewithtoppolylinesplitinhalf previewshow #gtlivefor previewexpanded true previewheight 250,example blrectangleshapewitharrowexplanation # rectanglewithtoppolylinesplitinhalf previewshow # gtlivefor previewexpanded true previewheight 250,['Example']
291,BlRectangleShapeWithArrowExplanation,moving the top of the triangle,moving the top of the triangle,['Example']
295,BlRectangleShapeWithArrowExplanation,example blrectangleshapewitharrowexplanation #rectanglewithtoparrow previewshow #gtlivefor previewexpanded true previewheight 250,example blrectangleshapewitharrowexplanation # rectanglewithtoparrow previewshow # gtlivefor previewexpanded true previewheight 250,['Example']
296,BlScalableFitHeightStrategy,i make sure that content element fits vertically within scalable element.,i make sure that content element fits vertically within scalable element.,['Responsibilities']
297,BlScalableFitWidthStrategy,i make sure that content element fits horizontally within scalable element.,i make sure that content element fits horizontally within scalable element.,['Responsibilities']
299,BlSpaceEventExamples,i contain examples of space related events,i contain examples of space related events,['Responsibilities']
300,BlSpaceFramePhase,i represent a frame phase.,i represent a frame phase.,['Intent']
301,BlSpaceFramePhase,each phase knows about its start time and send a corresponding event once the phase is completed.,each phase knows about its start time and send a corresponding event once the phase is completed.,['Responsibilities']
302,BlSpartaMozSkiaCanvasBuilder,i am a copy of class blspartamozcanvasbuilder.,i am a copy of class blspartamozcanvasbuilder.,['Intent']
304,BlTextBackgroundAttribute,i represent a text background attribute.,i represent a text background attribute.,['Intent']
305,BlTextBackgroundAttribute,i am used together with brtext and brtextstyler to style text.,i am used together with brtext and brtextstyler to style text.,"['Responsibilities', 'Collaborators']"
306,BlTextBackgroundAttribute,public api and key messages,public api and key messages,['Keymessages']
307,BlTextBackgroundAttribute,paint set background paint,paint set background paint,['Keymessages']
310,BlTextElementMeasurementStrategyExamples,text measurement strategies,text measurement strategies,['Example']
311,BlTextElementMeasurementStrategyExamples,"class bltextelement provides different text measurement strategies, each suitable for a specific use case.","class bltextelement provides different text measurement strategies, each suitable for a specific use case.",['Collaborators']
312,BlTextElementMeasurementStrategyExamples,"there is no perfect strategy, therefore understanding the differences between them is an important step in learning how to work with text in bloc.","there is no perfect strategy, therefore understanding the differences between them is an important step in learning how to work with text in bloc.","['Example', 'Collaborators']"
313,BlTextElementMeasurementStrategyExamples,label measurement,label measurement,['Example']
315,BlTextElementMeasurementStrategyExamples,it means that the height of the text is independent from the content.,it means that the height of the text is independent from the content.,['Example']
316,BlTextElementMeasurementStrategyExamples,the width is given by the exact bounds of the element s text.,the width is given by the exact bounds of the element s text.,['Example']
317,BlTextElementMeasurementStrategyExamples,"please note, that since the width is precise and depends on the content, whitespace is not taken into account when computing the width of the text element.","please note, that since the width is precise and depends on the content, whitespace is not taken into account when computing the width of the text element.",['Example']
319,BlTextElementMeasurementStrategyExamples,editor measurement,editor measurement,['Example']
322,BlTextElementMeasurementStrategyExamples,method bltextelement #editormeasurement,method bltextelement # editormeasurement,['Example']
323,BlTextElementMeasurementStrategyExamples,example bltextelementmeasurementstrategyexamples #textelementwitheditormeasurement nocode previewshow #gtlivefor previewheight 100,example bltextelementmeasurementstrategyexamples # textelementwitheditormeasurement nocode previewshow # gtlivefor previewheight 100,['Example']
324,BlTextElementMeasurementStrategyExamples,precise measurement,precise measurement,['Example']
326,BlTextElementMeasurementStrategyExamples,method bltextelement #tightmeasurement does exactly that and clips off any white space surrounding the text.,method bltextelement # tightmeasurement does exactly that and clips off any white space surrounding the text.,['Example']
327,BlTextElementMeasurementStrategyExamples,"it may be useful for displaying a short piece of a text, usually a word centered within a larger element.","it may be useful for displaying a short piece of a text, usually a word centered within a larger element.",['Example']
328,BlTextElementMeasurementStrategyExamples,example bltextelementmeasurementstrategyexamples #textelementwithtightmeasurement nocode previewshow #gtlivefor previewheight 75,example bltextelementmeasurementstrategyexamples # textelementwithtightmeasurement nocode previewshow # gtlivefor previewheight 75,['Example']
329,BlTextElementMeasurementStrategyExamples,conslusion,conslusion,['Example']
341,BrExampleColoredElementStencil,i am an example of a custom stencil that creates a rounded rectangular element with cusomizable background color and corner radius,i am an example of a custom stencil that creates a rounded rectangular element with cusomizable background color and corner radius,"['Responsibilities', 'Intent', 'Keymessages']"
344,BrExamplesShowroom,in the example below we show all existing button styles,in the example below we show all existing button styles,['Example']
345,BrExamplesShowroom,"the following glamorous button reacts to various ui interaction events and changes its style according the state pressed, hovered","the following glamorous button reacts to various ui interaction events and changes its style according the state pressed, hovered",['Example']
346,BrExamplesShowroom,example brexamplesshowroom #glamorousbutton,example brexamplesshowroom # glamorousbutton,['Example']
347,BrExamplesShowroom,button can also be disabled to prevent click events,button can also be disabled to prevent click events,['Example']
348,BrExamplesShowroom,example brexamplesshowroom #glamorousdisabledbutton,example brexamplesshowroom # glamorousdisabledbutton,['Example']
349,BrExamplesShowroom,toggles,toggles,['Example']
350,BrExamplesShowroom,labelled toggle,labelled toggle,['Example']
352,BrExamplesShowroom,example brexamplesshowroom #materiallabeltoggle,example brexamplesshowroom # materiallabeltoggle,['Example']
355,BrExamplesShowroom,we can compose label and icon looks to create a toggle button with both label and the icon.,we can compose label and icon looks to create a toggle button with both label and the icon.,['Example']
356,BrExamplesShowroom,note that the order of looks defines the visual order of the label and icon,note that the order of looks defines the visual order of the label and icon,['Example']
357,BrExamplesShowroom,example brexamplesshowroom #materialtoggle,example brexamplesshowroom # materialtoggle,['Example']
358,BrExamplesShowroom,thus being said by swapping the label and icon look we can move the icon to the right from the label,thus being said by swapping the label and icon look we can move the icon to the right from the label,['Example']
359,BrExamplesShowroom,example brexamplesshowroom #materialreversedtoggle,example brexamplesshowroom # materialreversedtoggle,['Example']
360,BrExamplesShowroom,accordion,accordion,['Example']
361,BrExamplesShowroom,tabs,tabs,['Example']
362,BrExamplesShowroom,the content of each tab is defined with the help of a stencil.,the content of each tab is defined with the help of a stencil.,['Example']
363,BrExamplesShowroom,toolbar,toolbar,['Example']
365,BrExamplesShowroom,example brexamplesshowroom #glamoroustoolbar,example brexamplesshowroom # glamoroustoolbar,['Example']
367,BrExamplesShowroom,list,list,['Example']
369,BrGlamorousIcons,you can import new icons using method name brglamorousicons class #importiconsfromdirectory using the script below.,you can import new icons using method name brglamorousicons class # importiconsfromdirectory using the script below.,"['Keyimplementationpoints', 'Responsibilities']"
370,BrGlamorousIcons,it imports all png files and creates class methods with the same name.,it imports all png files and creates class methods with the same name.,"['Example', 'Responsibilities']"
371,BrGlamorousIcons,brglamorousicons importiconsfromdirectory .,brglamorousicons importiconsfromdirectory .,['Example']
372,BrGlamorousIcons,gt icons asfilereference,gt icons asfilereference,['Example']
377,BrLook,i define how widgets look.,i define how widgets look.,['Responsibilities']
384,BrSelectionRequest,i am sent by a look to request selection update from the view model,i am sent by a look to request selection update from the view model,['Responsibilities']
386,BrTextEditor,the moldable editor,the moldable editor,['Intent']
389,BrTextEditorCursorElementRemovedEvent,i am sent by the text editor element when an element playing a role of the cursor is removed from the editor,i am sent by the text editor element when an element playing a role of the cursor is removed from the editor,"['Responsibilities', 'Intent']"
391,BrTextEditorExamples,show gtprintin,show gtprintin,['Example']
392,BrTextEditorExamples,10 factorial,10 factorial,['Example']
394,BrTextEditorExamples,example brtexteditorexamples #newtext,example brtexteditorexamples # newtext,['Example']
395,BrTextEditorExamples,"next, we build the editor","next, we build the editor",['Example']
396,BrTextEditorExamples,example brtexteditorexamples #neweditor,example brtexteditorexamples # neweditor,['Example']
397,BrTextEditorExamples,"then, we attach text to the enditor.","then, we attach text to the enditor.",['Example']
398,BrTextEditorExamples,example brtexteditorexamples #editor text,example brtexteditorexamples # editor text,['Example']
399,BrTextEditorExamples,"next, we create an editor element.","next, we create an editor element.",['Example']
401,BrTextEditorExamples,"and finally, build everything together","and finally, build everything together",['Example']
402,BrTextEditorExamples,example brtexteditorexamples #element editortext show gtlivein,example brtexteditorexamples # element editortext show gtlivein,['Example']
403,BrTextEditorExamples,done,done,['Example']
404,BrTextEditorLetterInputFilter,i only allow letters,i only allow letters,['Responsibilities']
407,BrTextEditorSelectionRecorder,i am used to record text selection intervals while user drags mouse over the text editor.,i am used to record text selection intervals while user drags mouse over the text editor.,"['Responsibilities', 'Collaborators']"
408,BrTextEditorSelectionRecorder,additionally i play a role of a selection strategy to support single or multiple selection.,additionally i play a role of a selection strategy to support single or multiple selection.,"['Responsibilities', 'Collaborators']"
409,BrTextEditorSelectionUpdateCommand,i do the hard job of visually updating selection by requesting segment holders to partially update themselves,i do the hard job of visually updating selection by requesting segment holders to partially update themselves,"['Responsibilities', 'Keymessages']"
412,GtABAddress,i hold all data relevant for an address,i hold all data relevant for an address,['Responsibilities']
414,GtConnectorButtonCreatedEvent,is sent by buttonattribute after button is created.,is sent by buttonattribute after button is created.,"['Responsibilities', 'Collaborators']"
415,GtConnectorButtonCreatedEvent,i allow connector to be notified and attach its own additional handlers to newly created button,i allow connector to be notified and attach its own additional handlers to newly created button,"['Responsibilities', 'Collaborators']"
416,GtDiagrammerArrowheadFilledCircleStencil,i create a filled circle arrow head with the border and background equal to the color of the curve,i create a filled circle arrow head with the border and background equal to the color of the curve,['Responsibilities']
417,GtDiagrammerArrowheadFilledTriangleStencil,i create a filled triangle arrowhead,i create a filled triangle arrowhead,['Responsibilities']
418,GtDiagrammerArrowheadNoneStencil,i am used to remove arrow heads,i am used to remove arrow heads,['Responsibilities']
419,GtDiagrammerDummyTool,i am a dummy tool that does nothing,i am a dummy tool that does nothing,"['Responsibilities', 'Intent']"
420,GtDiagrammerEditorList,i display a list of editors of an object in a vertical list.,i display a list of editors of an object in a vertical list.,"['Responsibilities', 'Collaborators']"
