index,class_name,original_comment,preprocessed_comment,categories
271,QuasiMonteCarlo.java,there are better methods for computing pi.,there are better methods for computing pi.,"['Expand', 'usage']"
272,QuasiMonteCarlo.java,we emphasize numerical approximation of arbitrary integrals in this example.,we emphasize numerical approximation of arbitrary integrals in this example.,"['Expand', 'usage']"
273,QuasiMonteCarlo.java,"for computing many digits of pi, consider using bbp.","for computing many digits of pi, consider using bbp.","['Expand', 'usage']"
274,QuasiMonteCarlo.java,the implementation is discussed below.,the implementation is discussed below.,['Expand']
275,QuasiMonteCarlo.java,mapper,mapper,['Expand']
276,QuasiMonteCarlo.java,generate points in a unit square,generate points in a unit square,['Expand']
277,QuasiMonteCarlo.java,and then count points inside outside of the inscribed circle of the square.,and then count points inside outside of the inscribed circle of the square.,['Expand']
278,QuasiMonteCarlo.java,reducer,reducer,['Expand']
279,QuasiMonteCarlo.java,generate points in a unit square,generate points in a unit square,['Expand']
280,QuasiMonteCarlo.java,and then count points inside outside of the inscribed circle of the square.,and then count points inside outside of the inscribed circle of the square.,['Expand']
282,Query.java,the query is usually a partial record.,the query is usually a partial record.,['Expand']
283,Query.java,@param t type of the record to query.,@param t type of the record to query.,['Pointer']
300,ReencryptionUpdater.java,"all the submitted futures, and statistics about how far the futures are","all the submitted futures, and statistics about how far the futures are","['summary', 'Expand']"
303,ReencryptionUpdater.java,it,it,['summary']
305,ReencryptionUpdater.java,class that encapsulates re encryption details of a file.,class that encapsulates re encryption details of a file.,['summary']
306,RegistryInternalConstants.java,internal constants for the registry.,internal constants for the registry.,['summary']
307,RegistryInternalConstants.java,these are the things which aren t visible to users.,these are the things which aren t visible to users.,['rational']
311,ResourceBlacklistRequest.java,@see resourcerequest,@see resourcerequest,['Pointer']
320,ResourceRequestsJsonVerifications.java,"@link builder , users can also make verifications of the custom resource","@link builder , users can also make verifications of the custom resource","['Expand', 'Pointer']"
323,ResourceRequestsJsonVerifications.java,builder class for @link resourcerequestsjsonverifications .,builder class for @link resourcerequestsjsonverifications .,"['summary', 'Pointer']"
324,RMAdminRequestInterceptor.java,"defines the contract to be implemented by the request intercepter classes,","defines the contract to be implemented by the request intercepter classes,",['summary']
327,SchedulerQueueManager.java,context of the queues in scheduler.,context of the queues in scheduler.,['summary']
330,ShellBasedUnixGroupsMapping.java,a simple shell based implementation of @link groupmappingserviceprovider that exec s the code groups code shell command to fetch the group,a simple shell based implementation of @link groupmappingserviceprovider that exec s the code groups code shell command to fetch the group,['summary']
331,StandardSocketFactory.java,specialized socketfactory to create sockets with a socks proxy,specialized socketfactory to create sockets with a socks proxy,['summary']
332,StateStoreFileSystemImpl.java,@link statestoredriver implementation based on a filesystem.,@link statestoredriver implementation based on a filesystem.,"['summary', 'Pointer']"
333,StreamBaseRecordReader.java,shared functionality for hadoopstreaming formats.,shared functionality for hadoopstreaming formats.,['summary']
334,StreamBaseRecordReader.java,a custom reader can be,a custom reader can be,['usage']
335,StreamBaseRecordReader.java,defined to be a recordreader with the constructor below and is selected with,defined to be a recordreader with the constructor below and is selected with,['usage']
336,StreamBaseRecordReader.java,the option bin hadoopstreaming inputreader .,the option bin hadoopstreaming inputreader .,['usage']
338,StructureGenerator.java,this program generates a random namespace structure with the following,this program generates a random namespace structure with the following,"['summary', 'Expand']"
339,StructureGenerator.java,constraints,constraints,['Expand']
340,StructureGenerator.java,1,1,['Expand']
344,StructureGenerator.java,3,3,['Expand']
345,StructureGenerator.java,files are randomly placed in the empty directories.,files are randomly placed in the empty directories.,['Expand']
347,StructureGenerator.java,file follows gaussian distribution.,file follows gaussian distribution.,['Expand']
348,StructureGenerator.java,the generated namespace structure is described by two files in the output,the generated namespace structure is described by two files in the output,['Expand']
349,StructureGenerator.java,directory.,directory.,['Expand']
352,StructureGenerator.java,the synopsis of the command is,the synopsis of the command is,['usage']
356,StructureGenerator.java,maxwidth maxwidth maximum number of subdirectories per directories default is 5,maxwidth maxwidth maximum number of subdirectories per directories default is 5,['usage']
357,StructureGenerator.java,numoffiles #offiles the total number of files default is 10.,numoffiles #offiles the total number of files default is 10.,['usage']
358,StructureGenerator.java,avgfilesize avgfilesizeinblocks average size of blocks default is 1.,avgfilesize avgfilesizeinblocks average size of blocks default is 1.,"['Expand', 'usage']"
359,StructureGenerator.java,outdir outdir output directory default is the current directory.,outdir outdir output directory default is the current directory.,"['Expand', 'usage']"
360,StructureGenerator.java,seed seed random number generator seed default is the current time.,seed seed random number generator seed default is the current time.,['usage']
362,SwiftBadRequestException.java,thrown to indicate that data locality can t be calculated or requested path is incorrect.,thrown to indicate that data locality can t be calculated or requested path is incorrect.,['summary']
363,SwiftBadRequestException.java,data locality can t be calculated if openstack swift version is old.,data locality can t be calculated if openstack swift version is old.,['deprecation']
365,SwiftRestClient.java,get the current operation statistics.,get the current operation statistics.,['Pointer']
366,SwiftRestClient.java,@return a snapshot of the statistics,@return a snapshot of the statistics,['Pointer']
367,SwiftRestClient.java,base class for all swift rest operations.,base class for all swift rest operations.,['Pointer']
368,SwiftRestClient.java,@param m request,@param m request,['Pointer']
369,SwiftRestClient.java,@param r result,@param r result,['Pointer']
370,SwiftRestClient.java,get the current operation statistics.,get the current operation statistics.,['Pointer']
371,SwiftRestClient.java,@return a snapshot of the statistics,@return a snapshot of the statistics,['Pointer']
373,SwiftRestClient.java,@return a snapshot of the statistics,@return a snapshot of the statistics,['Pointer']
376,SwiftRestClient.java,get the current operation statistics.,get the current operation statistics.,['Pointer']
377,SwiftRestClient.java,@return a snapshot of the statistics,@return a snapshot of the statistics,['Pointer']
378,SwiftRestClient.java,create operation.,create operation.,['Pointer']
379,SwiftRestClient.java,get the current operation statistics.,get the current operation statistics.,['Pointer']
380,SwiftRestClient.java,@return a snapshot of the statistics,@return a snapshot of the statistics,['Pointer']
381,SwiftRestClient.java,delete operation.,delete operation.,['Pointer']
382,SwiftRestClient.java,@param r,@param r,['Pointer']
383,TableConfig.java,class that maintains table configuration.,class that maintains table configuration.,['summary']
384,TestAddBlock.java,test addblockop is written and read correctly,test addblockop is written and read correctly,"['summary', 'Expand']"
386,TestAdlContractSeekLive.java,test seek operation on adl file system.,test seek operation on adl file system.,['summary']
388,TestCustomOauthTokenProvider.java,test custom oauth token providers.,test custom oauth token providers.,['summary']
392,TestEditLogFileOutputStream.java,test the editlogfileoutputstream,test the editlogfileoutputstream,['summary']
393,TestFederationPolicyUtils.java,unit test for @link federationpolicyutils .,unit test for @link federationpolicyutils .,"['summary', 'Pointer']"
395,TestHandler.java,tests handler interface.,tests handler interface.,['summary']
403,TestNativeAzureFileSystemUploadLogic.java,"tests for the upload, buffering and flush logic in wasb.","tests for the upload, buffering and flush logic in wasb.",['summary']
409,TestOzoneNativeAuthorizer.java,test class for @link ozonenativeauthorizer .,test class for @link ozonenativeauthorizer .,"['summary', 'Pointer']"
411,TestProtoBufRpc.java,this test depends on test^proto definition of types in src test proto,this test depends on test.proto definition of types in src test proto,['Expand']
413,TestRDBStore.java,rdbstore tests.,rdbstore tests.,['summary']
415,TestRouterWebServiceUtil.java,test class to validate routerwebserviceutil methods.,test class to validate routerwebserviceutil methods.,['summary']
421,TestSaveNamespace.java,li recover from failure while saving into the second storage directory li,li recover from failure while saving into the second storage directory li,['Expand']
422,TestSaveNamespace.java,li recover from failure while moving current into lastcheckpoint^tmp li,li recover from failure while moving current into lastcheckpoint.tmp li,['Expand']
430,TestSeveralNameNodes.java,test that we can start several and run with namenodes on the same minicluster,test that we can start several and run with namenodes on the same minicluster,"['summary', 'Expand']"
432,TestSwiftFileSystemContract.java,default config set up to point to a filesystem.,default config set up to point to a filesystem.,['summary']
434,TestSwiftFileSystemContract.java,"are where swiftfs does not implement those features, or","are where swiftfs does not implement those features, or",['rational']
435,TestSwiftFileSystemContract.java,when the behavior of swiftfs does not match the normal,when the behavior of swiftfs does not match the normal,['rational']
436,TestSwiftFileSystemContract.java,contract which normally means that directories and equal files,contract which normally means that directories and equal files,['rational']
437,TestSwiftFileSystemContract.java,are being treated as equal.,are being treated as equal.,['rational']
438,TestTaskCommit.java,special committer that does not cleanup temporary files in,special committer that does not cleanup temporary files in,['summary']
440,TestTaskCommit.java,the framework s fileoutputcommitter cleans up any temporary,the framework s fileoutputcommitter cleans up any temporary,['rational']
441,TestTaskCommit.java,files left behind in aborttask.,files left behind in aborttask.,"['summary', 'rational']"
442,TestTaskCommit.java,we want the test case to,we want the test case to,['rational']
443,TestTaskCommit.java,find these files and hence short circuit aborttask.,find these files and hence short circuit aborttask.,"['summary', 'rational']"
444,TestTaskCommit.java,special committer that always requires commit.,special committer that always requires commit.,['usage']
445,TestTaskContext.java,tests context api and @link statusreporter#getprogress via @link taskattemptcontext#getprogress api .,tests context api and @link statusreporter#getprogress via @link taskattemptcontext#getprogress api .,"['summary', 'Pointer']"
446,TestTopCLI.java,test class for topcli.,test class for topcli.,['summary']
447,TestUpgradeDomainBlockPlacementPolicy.java,end to end test case for upgrade domain,end to end test case for upgrade domain,['summary']
449,TestUpgradeDomainBlockPlacementPolicy.java,config file and put some nodes to decommission state.,config file and put some nodes to decommission state.,['Expand']
452,TextInputFormat.java,an @link inputformat for plain text files.,an @link inputformat for plain text files.,"['summary', 'Pointer']"
455,TextInputFormat.java,either linefeed or carriage return are used to signal end of line.,either linefeed or carriage return are used to signal end of line.,['Expand']
456,TextInputFormat.java,.,.,['Expand']
457,TimelineDataToRetrieve.java,encapsulates information regarding which data to retrieve for each entity,encapsulates information regarding which data to retrieve for each entity,"['summary', 'Expand', 'Pointer']"
464,TimelineDataToRetrieve.java,in response.,in response.,"['Expand', 'Pointer']"
465,TimelineDataToRetrieve.java,this is represented as a @link timelinefilterlist object,this is represented as a @link timelinefilterlist object,['Pointer']
466,TimelineDataToRetrieve.java,containing @link timelineprefixfilter objects.,containing @link timelineprefixfilter objects.,['Pointer']
467,TimelineDataToRetrieve.java,these can either be,these can either be,"['Expand', 'Pointer']"
468,TimelineDataToRetrieve.java,exact config keys or prefixes which are then compared against config,exact config keys or prefixes which are then compared against config,"['Expand', 'Pointer']"
469,TimelineDataToRetrieve.java,"or empty, all configurations will be fetched if fieldstoretrieve","or empty, all configurations will be fetched if fieldstoretrieve","['Expand', 'Pointer']"
470,TimelineDataToRetrieve.java,contains @link field#configs or @link field#all .,contains @link field#configs or @link field#all .,['Pointer']
471,TimelineDataToRetrieve.java,confused with configfilters which is used to decide which entities to,confused with configfilters which is used to decide which entities to,"['Expand', 'Pointer']"
472,TimelineDataToRetrieve.java,return instead.,return instead.,"['Expand', 'Pointer']"
474,TimelineDataToRetrieve.java,in response.,in response.,"['Expand', 'Pointer']"
475,TimelineDataToRetrieve.java,this is represented as a @link timelinefilterlist object,this is represented as a @link timelinefilterlist object,['Pointer']
476,TimelineDataToRetrieve.java,containing @link timelineprefixfilter objects.,containing @link timelineprefixfilter objects.,['Pointer']
477,TimelineDataToRetrieve.java,these can either be,these can either be,"['Expand', 'Pointer']"
478,TimelineDataToRetrieve.java,exact metric ids or prefixes which are then compared against metric,exact metric ids or prefixes which are then compared against metric,"['Expand', 'Pointer']"
479,TimelineDataToRetrieve.java,"or empty, all metrics will be fetched if fieldstoretrieve contains","or empty, all metrics will be fetched if fieldstoretrieve contains","['Expand', 'Pointer']"
480,TimelineDataToRetrieve.java,with metricfilters which is used to decide which entities to return,with metricfilters which is used to decide which entities to return,"['Expand', 'Pointer']"
481,TimelineDataToRetrieve.java,instead.,instead.,"['Expand', 'Pointer']"
483,TimelineDataToRetrieve.java,"namely entity id, entity type and entity created time.","namely entity id, entity type and entity created time.","['Expand', 'Pointer']"
484,TimelineDataToRetrieve.java,all fields will,all fields will,"['Expand', 'Pointer']"
486,TimelineDataToRetrieve.java,number of metrics to return.,number of metrics to return.,"['Expand', 'Pointer']"
487,TimelineDataToRetrieve.java,this parameter is ignored if metrics are not to,this parameter is ignored if metrics are not to,"['Expand', 'Pointer']"
488,TimelineDataToRetrieve.java,be fetched.,be fetched.,"['Expand', 'Pointer']"
490,TimelineDataToRetrieve.java,be retrieved.,be retrieved.,"['Expand', 'Pointer']"
492,TimelineDataToRetrieve.java,be retrieved.,be retrieved.,"['Expand', 'Pointer']"
495,TimelineStorageMonitor.java,this abstract class is for monitoring health of timeline storage.,this abstract class is for monitoring health of timeline storage.,"['summary', 'rational']"
496,TonyRuntimeFactory.java,implementation of runtimefactory with tony runtime,implementation of runtimefactory with tony runtime,"['summary', 'Pointer']"
501,UniformSizeInputFormat.java,input splits for distcp.,input splits for distcp.,['summary']
502,UniformSizeInputFormat.java,it looks at the copy listing and groups the contents into input splits such,it looks at the copy listing and groups the contents into input splits such,['Expand']
505,Utils.java,a utility class.,a utility class.,['summary']
506,Utils.java,it provides,it provides,['summary']
507,Utils.java,a path filter utility to filter out output part files in the output dir,a path filter utility to filter out output part files in the output dir,['summary']
515,Utils.java,it doesnt accept paths having logs.,it doesnt accept paths having logs.,"['Expand', 'usage']"
525,WritableComparator.java,to define alternate,to define alternate,"['Expand', 'usage', 'Pointer']"
528,WritableComparator.java,p one may optimize compare intensive operations by overriding,p one may optimize compare intensive operations by overriding,"['usage', 'Pointer']"
531,WritableComparator.java,static utility methods are,static utility methods are,"['usage', 'Pointer']"
534,YarnAuthorizationProvider.java,an implementation of the interface will provide authorization related,an implementation of the interface will provide authorization related,['summary']
536,YarnAuthorizationProvider.java,it is excepted that any of the,it is excepted that any of the,"['Expand', 'rational']"
539,YarnAuthorizationProvider.java,involve expensive computation as these method could be invoked in rpc.,involve expensive computation as these method could be invoked in rpc.,"['Expand', 'rational']"
540,YarnServiceJobSubmitter.java,submit a job to cluster.,submit a job to cluster.,['summary']
543,ExecutorPlugin.java,a plugin which can be automatically instantiated within each spark executor.,a plugin which can be automatically instantiated within each spark executor.,['summary']
544,FlatMapFunction.java,a function that returns zero or more output records from each input record.,a function that returns zero or more output records from each input record.,['summary']
545,JavaRecord.java,java bean class to be used with the example javasqlnetworkwordcount.,java bean class to be used with the example javasqlnetworkwordcount.,['usage']
546,JavaStreamingTestExample.java,"perform streaming testing using welch s 2 sample t test on a stream of data, where the data","perform streaming testing using welch s 2 sample t test on a stream of data, where the data",['summary']
547,JavaStreamingTestExample.java,stream arrives as text files in a directory.,stream arrives as text files in a directory.,['summary']
549,JavaStreamingTestExample.java,significant p value 005 or after a user specified timeout in number of batches is exceeded.,significant p value 005 or after a user specified timeout in number of batches is exceeded.,['summary']
552,JavaStreamingTestExample.java,"false, 392","false, 392",['Expand']
555,JavaStreamingTestExample.java,javastreamingtestexample datadir batchduration numbatchestimeout,javastreamingtestexample datadir batchduration numbatchestimeout,['usage']
557,JavaStreamingTestExample.java,"a timeout after 100 insignificant batches, call","a timeout after 100 insignificant batches, call",['usage']
558,JavaStreamingTestExample.java,bin run example mllib^javastreamingtestexample datadir 5 100,bin run example mllib.javastreamingtestexample datadir 5 100,['usage']
